H काल काल NP NNP NP k7t VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; k7t 
H राम राम NP NNP NP2 r6 NP3 ; H पुत्र पुत्र NP NN NP3 nmod NP4 ; R ; r6 
H पुत्र पुत्र NP NN NP3 nmod NP4 ; H कुश कुश NP NNP NP4 r6 NP5 ; R ; nmod 
H कुश कुश NP NNP NP4 r6 NP5 ; H राजधानी राजधानी NP NN NP5 nmod NP6 ; R ; r6 
H राजधानी राजधानी NP NN NP5 nmod NP6 ; H कुशावती कुशावती NP NNP NP6 k2 VGF ; R ; nmod 
H कुशावती कुशावती NP NNP NP6 k2 VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; k2 
H पूर्व पूर्व NP NNP NP7 k7t VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; k7t 
H बुद्ध बुद्ध NP NNP NP8 k1 VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; k1 
H अपने अपना NP PRP NP9 r6 NP10 ; H विश्राम विश्राम NP NN NP10 rt VGF ; R ; r6 
H विश्राम विश्राम NP NN NP10 rt VGF ; H चुना चुन VGF VM VGF NULL ROOT ; R ; rt 
ROOT ; H चुना चुन VGF VM VGF NULL ROOT ; L ; ROOT 
H चुना चुन VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H काल काल NP NNP NP k7t VGF  ;  H विश्राम विश्राम NP NN NP10 rt VGF  ;  U ;  NULL
H काल काल NP NNP NP k7t VGF  ;  H राम राम NP NNP NP2 r6 NP3  ;  U ;  NULL
H कुशावती कुशावती NP NNP NP6 k2 VGF  ;  H विश्राम विश्राम NP NN NP10 rt VGF  ;  U ;  NULL
H कुशावती कुशावती NP NNP NP6 k2 VGF  ;  H पूर्व पूर्व NP NNP NP7 k7t VGF  ;  U ;  NULL
H पूर्व पूर्व NP NNP NP7 k7t VGF  ;  H विश्राम विश्राम NP NN NP10 rt VGF  ;  U ;  NULL
H पूर्व पूर्व NP NNP NP7 k7t VGF  ;  H बुद्ध बुद्ध NP NNP NP8 k1 VGF  ;  U ;  NULL
H बुद्ध बुद्ध NP NNP NP8 k1 VGF  ;  H अपने अपना NP PRP NP9 r6 NP10  ;  U ;  NULL
H अपने अपना NP PRP NP9 r6 NP10  ;  H चुना चुन VGF VM VGF NULL ROOT  ;  U ;  NULL
H राजधानी राजधानी NP NN NP5 nmod NP6  ;  H चुना चुन VGF VM VGF NULL ROOT  ;  U ;  NULL
H राम राम NP NNP NP2 r6 NP3  ;  H चुना चुन VGF VM VGF NULL ROOT  ;  U ;  NULL
H पुत्र पुत्र NP NN NP3 nmod NP4  ;  H चुना चुन VGF VM VGF NULL ROOT  ;  U ;  NULL
H विश्राम विश्राम NP NN NP10 rt VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H अपने अपना NP PRP NP9 r6 NP10  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H काल काल NP NNP NP k7t VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H राम राम NP NNP NP2 r6 NP3  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H विश्राम विश्राम NP NN NP10 rt VGF  ;  U ;  NULL
ROOT  ;  H अपने अपना NP PRP NP9 r6 NP10  ;  U ;  NULL
ROOT  ;  H काल काल NP NNP NP k7t VGF  ;  U ;  NULL
ROOT  ;  H राम राम NP NNP NP2 r6 NP3  ;  U ;  NULL
H मल्‍लों मल्ला NP NN NP r6 NP2 ; H राजधानी राजधानी NP NN NP2 k1 VGNN ; R ; r6 
H राजधानी राजधानी NP NN NP2 k1 VGNN ; H होने हो VGNN VM VGNN rh VGF ; R ; k1 
H होने हो VGNN VM VGNN rh VGF ; H था था VGF VM VGF NULL ROOT ; R ; rh 
H प्राचीनकाल प्राचीनकाल NP NN NP3 k7t VGF ; H था था VGF VM VGF NULL ROOT ; R ; k7t 
H स्‍थान स्थान NP NN NP4 r6 NP5 ; H महत्‍व महत्व NP NN NP5 k1 VGF ; R ; r6 
H महत्‍व महत्व NP NN NP5 k1 VGF ; H था था VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H था था VGF VM VGF NULL ROOT ; L ; ROOT 
H था था VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H होने हो VGNN VM VGNN rh VGF  ;  H महत्‍व महत्व NP NN NP5 k1 VGF  ;  U ;  NULL
H होने हो VGNN VM VGNN rh VGF  ;  H प्राचीनकाल प्राचीनकाल NP NN NP3 k7t VGF  ;  U ;  NULL
H प्राचीनकाल प्राचीनकाल NP NN NP3 k7t VGF  ;  H स्‍थान स्थान NP NN NP4 r6 NP5  ;  U ;  NULL
H स्‍थान स्थान NP NN NP4 r6 NP5  ;  H था था VGF VM VGF NULL ROOT  ;  U ;  NULL
H राजधानी राजधानी NP NN NP2 k1 VGNN  ;  H था था VGF VM VGF NULL ROOT  ;  U ;  NULL
H मल्‍लों मल्ला NP NN NP r6 NP2  ;  H था था VGF VM VGF NULL ROOT  ;  U ;  NULL
H महत्‍व महत्व NP NN NP5 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H स्‍थान स्थान NP NN NP4 r6 NP5  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H मल्‍लों मल्ला NP NN NP r6 NP2  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H राजधानी राजधानी NP NN NP2 k1 VGNN  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
ROOT  ;  H महत्‍व महत्व NP NN NP5 k1 VGF  ;  U ;  NULL
ROOT  ;  H स्‍थान स्थान NP NN NP4 r6 NP5  ;  U ;  NULL
ROOT  ;  H मल्‍लों मल्ला NP NN NP r6 NP2  ;  U ;  NULL
ROOT  ;  H राजधानी राजधानी NP NN NP2 k1 VGNN  ;  U ;  NULL
H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF ; H है है VGF VM VGF NULL ROOT ; R ; k7a 
H लुंबनी लुंबनी NP NNP NP2 ccof CCP ; H और और CCP CC CCP ras-k1 VGF ; R ; ccof 
H बोधगया बोधगया NP NNP NP3 ccof CCP ; H और और CCP CC CCP ras-k1 VGF ; R ; ccof 
H और और CCP CC CCP ras-k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; ras-k1 
H और और CCP CC CCP ras-k1 VGF ; H सारनाथ सारनाथ NP NNP NP4 ccof CCP ; L ; ccof 
H स्‍थान स्थान NP NN NP5 r6 NP6 ; H महत्‍व महत्व NP NN NP6 k1 VGF ; R ; r6 
H महत्‍व महत्व NP NN NP6 k1 VGF ; H है है VGF VM VGF NULL ROOT ; R ; k1 
ROOT ; H है है VGF VM VGF NULL ROOT ; L ; ROOT 
H है है VGF VM VGF NULL ROOT ; H । । BLK SYM BLK rsym VGF ; L ; rsym 
H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF  ;  H महत्‍व महत्व NP NN NP6 k1 VGF  ;  U ;  NULL
H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF  ;  H लुंबनी लुंबनी NP NNP NP2 ccof CCP  ;  U ;  NULL
H लुंबनी लुंबनी NP NNP NP2 ccof CCP  ;  H बोधगया बोधगया NP NNP NP3 ccof CCP  ;  U ;  NULL
H और और CCP CC CCP ras-k1 VGF  ;  H महत्‍व महत्व NP NN NP6 k1 VGF  ;  U ;  NULL
H और और CCP CC CCP ras-k1 VGF  ;  H स्‍थान स्थान NP NN NP5 r6 NP6  ;  U ;  NULL
H स्‍थान स्थान NP NN NP5 r6 NP6  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H सारनाथ सारनाथ NP NNP NP4 ccof CCP  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H लुंबनी लुंबनी NP NNP NP2 ccof CCP  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H बोधगया बोधगया NP NNP NP3 ccof CCP  ;  H है है VGF VM VGF NULL ROOT  ;  U ;  NULL
H महत्‍व महत्व NP NN NP6 k1 VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H स्‍थान स्थान NP NN NP5 r6 NP6  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
H लुंबनी लुंबनी NP NNP NP2 ccof CCP  ;  H । । BLK SYM BLK rsym VGF  ;  U ;  NULL
