H काल काल NP NNP NP k7t VGF में ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k7t 
H राम राम NP NNP NP2 r6 NP3 के ; H पुत्र पुत्र NP NN NP3 nmod NP4 NULL ; R ; r6 
H पुत्र पुत्र NP NN NP3 nmod NP4 NULL ; H कुश कुश NP NNP NP4 r6 NP5 की ; R ; nmod 
H कुश कुश NP NNP NP4 r6 NP5 की ; H राजधानी राजधानी NP NN NP5 nmod NP6 NULL ; R ; r6 
H राजधानी राजधानी NP NN NP5 nmod NP6 NULL ; H कुशावती कुशावती NP NNP NP6 k2 VGF को ; R ; nmod 
H कुशावती कुशावती NP NNP NP6 k2 VGF को ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k2 
H पूर्व पूर्व NP NNP NP7 k7t VGF NULL ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k7t 
H बुद्ध बुद्ध NP NNP NP8 k1 VGF ने ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; k1 
H अपने अपना NP PRP NP9 r6 NP10 NULL ; H विश्राम विश्राम NP NN NP10 rt VGF के ; R ; r6 
H विश्राम विश्राम NP NN NP10 rt VGF के ; H चुना चुन VGF VM VGF NULL ROOT NULL ; R ; rt 
ROOT ; H चुना चुन VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H चुना चुन VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H काल काल NP NNP NP k7t VGF में  ;  H विश्राम विश्राम NP NN NP10 rt VGF के  ;  U ;  NULL
H काल काल NP NNP NP k7t VGF में  ;  H राम राम NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H कुशावती कुशावती NP NNP NP6 k2 VGF को  ;  H विश्राम विश्राम NP NN NP10 rt VGF के  ;  U ;  NULL
H कुशावती कुशावती NP NNP NP6 k2 VGF को  ;  H पूर्व पूर्व NP NNP NP7 k7t VGF NULL  ;  U ;  NULL
H पूर्व पूर्व NP NNP NP7 k7t VGF NULL  ;  H विश्राम विश्राम NP NN NP10 rt VGF के  ;  U ;  NULL
H पूर्व पूर्व NP NNP NP7 k7t VGF NULL  ;  H बुद्ध बुद्ध NP NNP NP8 k1 VGF ने  ;  U ;  NULL
H बुद्ध बुद्ध NP NNP NP8 k1 VGF ने  ;  H अपने अपना NP PRP NP9 r6 NP10 NULL  ;  U ;  NULL
H अपने अपना NP PRP NP9 r6 NP10 NULL  ;  H चुना चुन VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H राजधानी राजधानी NP NN NP5 nmod NP6 NULL  ;  H चुना चुन VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H राम राम NP NNP NP2 r6 NP3 के  ;  H चुना चुन VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H पुत्र पुत्र NP NN NP3 nmod NP4 NULL  ;  H चुना चुन VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H विश्राम विश्राम NP NN NP10 rt VGF के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H अपने अपना NP PRP NP9 r6 NP10 NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H काल काल NP NNP NP k7t VGF में  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H राम राम NP NNP NP2 r6 NP3 के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H विश्राम विश्राम NP NN NP10 rt VGF के  ;  U ;  NULL
ROOT  ;  H अपने अपना NP PRP NP9 r6 NP10 NULL  ;  U ;  NULL
ROOT  ;  H काल काल NP NNP NP k7t VGF में  ;  U ;  NULL
ROOT  ;  H राम राम NP NNP NP2 r6 NP3 के  ;  U ;  NULL
H मल्‍लों मल्ला NP NN NP r6 NP2 की ; H राजधानी राजधानी NP NN NP2 k1 VGNN NULL ; R ; r6 
H राजधानी राजधानी NP NN NP2 k1 VGNN NULL ; H होने हो VGNN VM VGNN rh VGF के ; R ; k1 
H होने हो VGNN VM VGNN rh VGF के ; H था था VGF VM VGF NULL ROOT NULL ; R ; rh 
H प्राचीनकाल प्राचीनकाल NP NN NP3 k7t VGF में ; H था था VGF VM VGF NULL ROOT NULL ; R ; k7t 
H स्‍थान स्थान NP NN NP4 r6 NP5 का ; H महत्‍व महत्व NP NN NP5 k1 VGF NULL ; R ; r6 
H महत्‍व महत्व NP NN NP5 k1 VGF NULL ; H था था VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H था था VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H था था VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H होने हो VGNN VM VGNN rh VGF के  ;  H महत्‍व महत्व NP NN NP5 k1 VGF NULL  ;  U ;  NULL
H होने हो VGNN VM VGNN rh VGF के  ;  H प्राचीनकाल प्राचीनकाल NP NN NP3 k7t VGF में  ;  U ;  NULL
H प्राचीनकाल प्राचीनकाल NP NN NP3 k7t VGF में  ;  H स्‍थान स्थान NP NN NP4 r6 NP5 का  ;  U ;  NULL
H स्‍थान स्थान NP NN NP4 r6 NP5 का  ;  H था था VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H राजधानी राजधानी NP NN NP2 k1 VGNN NULL  ;  H था था VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H मल्‍लों मल्ला NP NN NP r6 NP2 की  ;  H था था VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H महत्‍व महत्व NP NN NP5 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H स्‍थान स्थान NP NN NP4 r6 NP5 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H मल्‍लों मल्ला NP NN NP r6 NP2 की  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H राजधानी राजधानी NP NN NP2 k1 VGNN NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H महत्‍व महत्व NP NN NP5 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H स्‍थान स्थान NP NN NP4 r6 NP5 का  ;  U ;  NULL
ROOT  ;  H मल्‍लों मल्ला NP NN NP r6 NP2 की  ;  U ;  NULL
ROOT  ;  H राजधानी राजधानी NP NN NP2 k1 VGNN NULL  ;  U ;  NULL
H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF के ; H है है VGF VM VGF NULL ROOT NULL ; R ; k7a 
H लुंबनी लुंबनी NP NNP NP2 ccof CCP NULL ; H और और CCP CC CCP ras-k1 VGF NULL ; R ; ccof 
H बोधगया बोधगया NP NNP NP3 ccof CCP NULL ; H और और CCP CC CCP ras-k1 VGF NULL ; R ; ccof 
H और और CCP CC CCP ras-k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; ras-k1 
H और और CCP CC CCP ras-k1 VGF NULL ; H सारनाथ सारनाथ NP NNP NP4 ccof CCP के ; L ; ccof 
H स्‍थान स्थान NP NN NP5 r6 NP6 का ; H महत्‍व महत्व NP NN NP6 k1 VGF NULL ; R ; r6 
H महत्‍व महत्व NP NN NP6 k1 VGF NULL ; H है है VGF VM VGF NULL ROOT NULL ; R ; k1 
ROOT ; H है है VGF VM VGF NULL ROOT NULL ; L ; ROOT 
H है है VGF VM VGF NULL ROOT NULL ; H । । BLK SYM BLK rsym VGF NULL ; L ; rsym 
H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF के  ;  H महत्‍व महत्व NP NN NP6 k1 VGF NULL  ;  U ;  NULL
H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF के  ;  H लुंबनी लुंबनी NP NNP NP2 ccof CCP NULL  ;  U ;  NULL
H लुंबनी लुंबनी NP NNP NP2 ccof CCP NULL  ;  H बोधगया बोधगया NP NNP NP3 ccof CCP NULL  ;  U ;  NULL
H और और CCP CC CCP ras-k1 VGF NULL  ;  H महत्‍व महत्व NP NN NP6 k1 VGF NULL  ;  U ;  NULL
H और और CCP CC CCP ras-k1 VGF NULL  ;  H स्‍थान स्थान NP NN NP5 r6 NP6 का  ;  U ;  NULL
H स्‍थान स्थान NP NN NP5 r6 NP6 का  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H सारनाथ सारनाथ NP NNP NP4 ccof CCP के  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H लुंबनी लुंबनी NP NNP NP2 ccof CCP NULL  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H बोधगया बोधगया NP NNP NP3 ccof CCP NULL  ;  H है है VGF VM VGF NULL ROOT NULL  ;  U ;  NULL
H महत्‍व महत्व NP NN NP6 k1 VGF NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H स्‍थान स्थान NP NN NP5 r6 NP6 का  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF के  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
H लुंबनी लुंबनी NP NNP NP2 ccof CCP NULL  ;  H । । BLK SYM BLK rsym VGF NULL  ;  U ;  NULL
ROOT  ;  H महत्‍व महत्व NP NN NP6 k1 VGF NULL  ;  U ;  NULL
ROOT  ;  H स्‍थान स्थान NP NN NP5 r6 NP6 का  ;  U ;  NULL
ROOT  ;  H धर्मावलंबियों धर्मावलंबी NP NN NP k7a VGF के  ;  U ;  NULL
ROOT  ;  H लुंबनी लुंबनी NP NNP NP2 ccof CCP NULL  ;  U ;  NULL
H राजाओं राजा NP NN NP r6 NP2 के ; H काल काल NP NN NP2 k7t VGF में ; R ; r6 
H काल काल NP NN NP2 k7t VGF में ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; k7t 
H चीन चीन NP NNP NP3 k5 VGF से ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; k5 
H सांग सांग NP NNP NP4 ccof CCP NULL ; H और और CCP CC CCP k1 VGF NULL ; R ; ccof 
H फाह्यान फाह्यान NP NNP NP5 ccof CCP NULL ; H और और CCP CC CCP k1 VGF NULL ; R ; ccof 
H और और CCP CC CCP k1 VGF NULL ; H किया कर VGF VM VGF NULL ROOT NULL ; R ; k1 
H और और CCP CC CCP k1 VGF NULL ; H इत्‍सिंग इत्त्‍सिंग NP NNP NP6 ccof CCP ने ; L ; ccof 
H अपने अपना NP PRP NP7 r6 NP8 NULL ; H वृत्तांत वृत्तान्त NP NN NP8 k7 VGF में ; R ; r6 
